"DayCount","Open","High","Low","Close","Volume..BTC.","Volume..Currency.","Weighted.Price","dn","mavg","up","pctB","PercentChange"
1,769.57,772.22,769.03,771.9,315.89,243658.64,771.35,,,,,
2,771.91,771.99,768.11,771.91,245.92,189703.49,771.41,,,,,
3,771.98,773.91,770.77,773.5,860.35,664710.23,772.6,,,,,
4,773.5,774.12,771.05,772.28,778.55,602082.65,773.34,,,,,
5,772.28,772.28,765.32,766,451.13,346155.91,767.31,,,,,
6,766,770.52,764.01,769.32,311.83,239003.43,766.45,,,,,
7,769.6,769.99,766.17,767.89,408.72,314128.95,768.57,,,,,
8,767.93,769.99,767,768.97,249.45,191689.13,768.45,,,,,
9,768.97,770.99,768.96,769.8,478.36,368286.84,769.89,,,,,
10,769.8,779,769.09,778.97,1186.01,919089.93,774.94,,,,,
11,778.7,778.99,775.48,777.47,786.14,611402.83,777.72,,,,,
12,777.2,778,776.5,776.9,354.67,275758.63,777.5,,,,,
13,777,793.27,765.1,775.44,2230.62,1735185.05,777.89,,,,,
14,773.36,780.38,773.36,777.24,927.5,720965.95,777.32,,,,,
15,777.5,784,777.24,778.71,1256.14,979486.75,779.76,,,,,
16,778.76,779.63,774.72,775.35,504.55,392731.33,778.38,,,,,
17,775.75,778.98,771,778.6,574.5,445826.69,776.03,,,,,
18,778.67,778.99,777,778.9,407.77,317278.06,778.09,,,,,
19,778.9,781,770.74,775.74,854.68,664250.44,777.19,,,,,
20,775.93,778.31,772.81,777.09,496.43,385040.14,775.62,,,,,
21,777.03,778.94,771,776.21,672.03,522007.92,776.77,,,,,
22,777,778.89,776.03,778.31,556.12,432529.21,777.77,,,,,
23,778,779.08,776,778.39,721.08,560725.46,777.62,,,,,
24,778.39,778.39,773.12,775.89,1090.6,845554.16,775.31,,,,,
25,776.3,778.99,771.24,777.3,790.16,612665.42,775.37,,,,,
26,778.07,780.3,774.29,780.26,1101.61,857304.31,778.23,,,,,
27,780.26,782.46,778.28,779.48,982.47,767195.12,780.89,,,,,
28,779.47,781.35,778.1,781.32,601.54,469263.44,780.11,767.323139579153,775.326428571429,783.329717563704,0.874444271246255,12.5555728753745
29,781.32,790.88,780.36,787.22,1217.18,955189.17,784.75,766.852145797987,775.873571428571,784.894997059156,1.12886006248071,12.886006248071
30,787.22,789.71,782.08,786.32,547.25,431075.39,787.72,766.709778677811,776.388214285714,786.066649893617,1.01308838104868,1.3088381048677
31,786,788,781.72,787.86,351.42,276096.32,785.67,766.402090063988,776.901071428571,787.400052793155,1.02190437295166,2.19043729516648
32,787.85,789,787.2,788.52,273.92,216006.42,788.59,766.295453954989,777.481071428571,788.666688902154,0.993442968056968,0.655703194303243
33,788.3,789.76,788.29,788.8,263.19,207646.4,788.95,767.252817991087,778.295357142857,789.337896294627,0.975644356463945,2.43556435360553
34,788.8,790.99,788.79,790.89,590.32,466441.27,790.15,767.632585194502,779.065714285714,790.498843376927,1.01710628035216,1.71062803521569
35,790.54,790.89,780,787.25,1258.31,988868.74,785.87,768.77849493474,779.757142857143,790.735790779546,0.841246809070508,15.8753190929492
36,786.85,788.76,783.92,788.67,407.42,320208.96,785.94,769.817599907231,780.460714285714,791.103828664197,0.88566181957428,11.433818042572
37,788.34,794.32,788.32,793.61,1327.2,1051213.88,792.05,770.40932145203,781.311071428571,792.212821405113,1.0640804732219,6.40804732219007
38,793.32,794.39,789.01,790.7,1379.41,1092747.09,792.18,770.330160402131,781.73,793.129839597869,0.893426588286248,10.6573411713753
39,791,791.73,787.01,790.15,920.57,727024.47,789.75,770.492195598405,782.182857142857,793.873518687309,0.840748161549659,15.9251838450341
40,788.82,791.39,788.67,791,290.68,229663.42,790.08,770.737525197615,782.686428571428,794.635331945242,0.847880101147648,15.2119898852352
41,791.03,791.03,787.69,791.01,328.36,259388.36,789.96,771.245195987372,783.2425,795.239804012628,0.823718561762876,17.6281438237124
42,791.01,793,790,792.81,1013.07,802188.68,791.84,771.525510668999,783.798571428571,796.071632188144,0.867122299317223,13.2877700682777
43,792.96,795,787.1,790.99,1292.37,1023883.58,792.25,771.845708191971,784.237142857143,796.628577522315,0.772480843636173,22.7519156363827
44,790.99,803,790,798.65,1484.9,1182244.78,796.18,772.062728106051,785.069285714286,798.07584332252,1.02207181541702,2.20718154170187
45,798.83,807.44,796.82,807.35,880.9,707875.63,803.59,770.933842663563,786.096071428571,801.25830019358,1.20088404880418,20.0884048804178
46,807.35,810,805.14,809.89,1987.37,1606729.98,808.47,769.926446423413,787.202857142857,804.479267862302,1.15659306280582,15.6593062805819
47,808.19,830.01,808.05,821.71,4718.47,3866185.38,819.37,767.89165637915,788.844642857143,809.797629335135,1.28426426651343,28.426426651343
48,821.65,834.97,818.5,832.75,1804.62,1487097.83,824.05,764.777453532404,790.8325,816.887546467596,1.3044027104717,30.4402710471699
49,832.02,847,827.29,845.01,2453.71,2062675.84,840.64,760.986633938405,793.289642857143,825.592651775881,1.30055014802128,30.055014802128
50,845.01,875,836.95,860.31,4481.84,3842940.42,857.45,755.983924697436,796.218214285714,836.452503873993,1.29648213464365,29.6482134643647
51,861.03,870,856,863.6,3733.98,3220689.09,862.53,752.517851559857,799.261428571428,846.005005583,1.18820761633886,18.8207616338863
52,862.74,863.99,858,859.96,1400.82,1205204.38,860.35,751.301187744909,802.263928571428,853.226669397948,1.06606130766173,6.60613076617341
53,858.94,913.41,858.93,897.99,6026.11,5371830.91,891.43,745.394839252359,806.574285714286,867.753732176212,1.24711132228537,24.7111322285372
54,897.97,912,892.01,905.24,3824.26,3452701.91,902.84,740.645997760206,811.037857142857,881.429716525508,1.16912668370542,16.9126683705416
55,905.23,913.4,876.11,895.78,3875.69,3475261.79,896.68,739.233386447732,815.191428571429,891.149470695125,1.03048083636315,3.04808363631453
56,894.61,920,885,914,2800.57,2537263.35,905.98,736.799710179055,819.93,903.060289820945,1.06579858077374,6.5798580773736
57,914.48,915.81,900,913.1,1556.72,1418104.85,910.96,735.447948294337,824.425714285714,913.403480277092,0.998294628586646,0.170537141335387
58,913.67,918.5,891.98,897.88,1631.85,1477756.69,905.57,736.66633568002,828.41,920.15366431998,0.878609250649207,12.1390749350793
59,897.88,897.92,878.89,896.8,1854.92,1648435.24,888.68,738.547744972193,832.300714285714,926.053683599235,0.84398529554084,15.601470445916
60,896.79,899.73,890,892.61,982.96,880725.1,895.99,741.254719799467,836.018214285714,930.781708771961,0.798594865148726,20.1405134851274
61,892.61,892.61,865,873.21,1601.87,1404530.27,876.81,745.102759751667,839.032857142857,932.962954534047,0.681928603325118,31.8071396674882
62,872.71,873.03,859,865.36,1446.31,1249341.36,863.81,749.158828503002,841.6925,934.226171496998,0.627885879902474,37.2114120097526
